step,rlinf_loss,ref_loss,abs_delta,within_0.03,rlinf_lr,rlinf_grad_norm
0,0.228638,0.246094,0.017456,1,2.497502e-08,2.3358
1,0.205933,0.235352,0.029419,1,4.995005e-08,2.0274
2,0.220703,0.246094,0.025391,1,7.492508e-08,2.9485
3,0.233398,0.240234,0.006836,1,9.990010e-08,3.4632
4,0.242920,0.247070,0.004150,1,1.248751e-07,2.6046
5,0.207520,0.239258,0.031738,0,1.498502e-07,2.0737
6,0.280640,0.227539,0.053101,0,1.748252e-07,10.6354
7,0.186646,0.247070,0.060425,0,1.998002e-07,2.3956
8,0.232422,0.250000,0.017578,1,2.247752e-07,2.3839
9,0.217651,0.259766,0.042114,0,2.497502e-07,2.7904
10,0.217529,0.248047,0.030518,0,2.747253e-07,2.8308
11,0.255127,0.251953,0.003174,1,2.997003e-07,2.6644
12,0.238647,0.236328,0.002319,1,3.246753e-07,2.4243
13,0.211792,0.237305,0.025513,1,3.496503e-07,2.3704
14,0.244263,0.213867,0.030396,0,3.746254e-07,3.1496
15,0.183350,0.198242,0.014893,1,3.996004e-07,2.4313
16,0.236816,0.191406,0.045410,0,4.245754e-07,2.4017
17,0.213379,0.185547,0.027832,1,4.495505e-07,2.9869
18,0.219727,0.174805,0.044922,0,4.745255e-07,2.7824
19,0.363037,0.179688,0.183350,0,4.995005e-07,6.9716
20,0.239014,0.166992,0.072021,0,5.244755e-07,2.6482
21,0.239136,0.160156,0.078979,0,5.494505e-07,2.4374
22,0.239380,0.157227,0.082153,0,5.744255e-07,2.7635
23,0.188110,0.176758,0.011353,1,5.994006e-07,2.4926
24,0.244751,0.174805,0.069946,0,6.243756e-07,2.7741
25,0.221191,0.168945,0.052246,0,6.493506e-07,3.1266
26,0.242310,0.178711,0.063599,0,6.743257e-07,2.6480
27,0.337646,0.162109,0.175537,0,6.993007e-07,9.1156
28,0.233276,0.154297,0.078979,0,7.242757e-07,2.5320
29,0.201050,0.146484,0.054565,0,7.492508e-07,2.4239
30,0.235596,0.132812,0.102783,0,7.742257e-07,2.9005
31,0.180420,0.119141,0.061279,0,7.992008e-07,2.4143
32,0.244385,0.114746,0.129639,0,8.241759e-07,2.7642
33,0.219360,0.115234,0.104126,0,8.491508e-07,3.2346
34,0.211914,0.117676,0.094238,0,8.741259e-07,2.6731
35,0.361328,0.125977,0.235352,0,8.991009e-07,9.0565
36,0.239990,0.111816,0.128174,0,9.240758e-07,2.5767
37,0.206543,0.104004,0.102539,0,9.490510e-07,2.4328
38,0.247559,0.105469,0.142090,0,9.740260e-07,2.9429
39,0.186768,0.109375,0.077393,0,9.990009e-07,2.5717
40,0.256836,0.111328,0.145508,0,1.023976e-06,2.9634
41,0.221924,0.106445,0.115479,0,1.048951e-06,2.8530
42,0.208740,0.105957,0.102783,0,1.073926e-06,2.6961
43,0.392334,0.098145,0.294189,0,1.098901e-06,5.5334
44,0.237671,0.109863,0.127808,0,1.123876e-06,2.5819
45,0.204468,0.113770,0.090698,0,1.148851e-06,2.3848
46,0.227661,0.097168,0.130493,0,1.173826e-06,2.8782
47,0.184204,0.090332,0.093872,0,1.198801e-06,2.3048
48,0.246582,0.093262,0.153320,0,1.223776e-06,2.7767
49,0.220337,0.090332,0.130005,0,1.248751e-06,2.7661
