step,rlinf_rankindep_loss,ref_loss,abs_delta,within_0.03,rlinf_lr,rlinf_grad_norm
0,0.226074,0.246094,0.020020,1,2.497502e-08,2.3974
1,0.207397,0.235352,0.027954,1,4.995005e-08,2.1504
2,0.221558,0.246094,0.024536,1,7.492508e-08,2.9206
3,0.228516,0.240234,0.011719,1,9.990010e-08,3.1190
4,0.241089,0.247070,0.005981,1,1.248751e-07,2.5657
5,0.208008,0.239258,0.031250,0,1.498502e-07,2.1111
6,0.273926,0.227539,0.046387,0,1.748252e-07,10.4592
7,0.186890,0.247070,0.060181,0,1.998002e-07,2.4184
8,0.228027,0.250000,0.021973,1,2.247752e-07,2.2941
9,0.215576,0.259766,0.044189,0,2.497502e-07,2.8035
10,0.216919,0.248047,0.031128,0,2.747253e-07,2.8397
11,0.246460,0.251953,0.005493,1,2.997003e-07,2.6529
12,0.232178,0.236328,0.004150,1,3.246753e-07,2.2770
13,0.210571,0.237305,0.026733,1,3.496503e-07,2.3725
14,0.240845,0.213867,0.026978,1,3.746254e-07,3.1745
15,0.177002,0.198242,0.021240,1,3.996004e-07,2.3977
16,0.232300,0.191406,0.040894,0,4.245754e-07,2.3984
17,0.221558,0.185547,0.036011,0,4.495505e-07,3.1606
18,0.224609,0.174805,0.049805,0,4.745255e-07,2.9111
19,0.356201,0.179688,0.176514,0,4.995005e-07,6.8480
20,0.235962,0.166992,0.068970,0,5.244755e-07,2.5197
21,0.235107,0.160156,0.074951,0,5.494505e-07,2.4923
22,0.230469,0.157227,0.073242,0,5.744255e-07,2.7214
23,0.181763,0.176758,0.005005,1,5.994006e-07,2.4538
24,0.250000,0.174805,0.075195,0,6.243756e-07,2.7310
25,0.221191,0.168945,0.052246,0,6.493506e-07,3.1171
26,0.243164,0.178711,0.064453,0,6.743257e-07,2.6747
27,0.334229,0.162109,0.172119,0,6.993007e-07,8.7018
28,0.241943,0.154297,0.087646,0,7.242757e-07,2.7021
29,0.207886,0.146484,0.061401,0,7.492508e-07,2.5222
30,0.242676,0.132812,0.109863,0,7.742257e-07,2.9559
31,0.184692,0.119141,0.065552,0,7.992008e-07,2.4047
32,0.241699,0.114746,0.126953,0,8.241759e-07,2.8041
33,0.223267,0.115234,0.108032,0,8.491508e-07,3.1713
34,0.214844,0.117676,0.097168,0,8.741259e-07,2.8198
35,0.370361,0.125977,0.244385,0,8.991009e-07,9.1101
36,0.239624,0.111816,0.127808,0,9.240758e-07,2.6174
37,0.206055,0.104004,0.102051,0,9.490510e-07,2.4922
38,0.243408,0.105469,0.137939,0,9.740260e-07,2.9457
39,0.186768,0.109375,0.077393,0,9.990009e-07,2.5194
40,0.258911,0.111328,0.147583,0,1.023976e-06,2.8359
41,0.217041,0.106445,0.110596,0,1.048951e-06,2.8436
42,0.203369,0.105957,0.097412,0,1.073926e-06,2.4266
43,0.404297,0.098145,0.306152,0,1.098901e-06,5.5229
44,0.230835,0.109863,0.120972,0,1.123876e-06,2.5494
45,0.202881,0.113770,0.089111,0,1.148851e-06,2.4156
46,0.223999,0.097168,0.126831,0,1.173826e-06,2.7047
47,0.181885,0.090332,0.091553,0,1.198801e-06,2.4167
48,0.244263,0.093262,0.151001,0,1.223776e-06,2.6834
49,0.209595,0.090332,0.119263,0,1.248751e-06,2.7311
