worker,batch_position,global_frame_idx,episode_index,frame_index,chunk_global_start,chunk_global_end,chunk_local_start
0,0,229063,1080,3000,229063,229313,3000
0,1,229064,1080,3001,229063,229313,3000
0,2,229065,1080,3002,229063,229313,3000
0,3,229066,1080,3003,229063,229313,3000
1,0,276591,1330,1000,276591,276841,1000
1,1,276592,1330,1001,276591,276841,1000
1,2,276593,1330,1002,276591,276841,1000
1,3,276594,1330,1003,276591,276841,1000
2,0,362866,2160,500,362866,363116,500
2,1,362867,2160,501,362866,363116,500
2,2,362868,2160,502,362866,363116,500
2,3,362869,2160,503,362866,363116,500
3,0,151727,710,1000,151727,151977,1000
3,1,151728,710,1001,151727,151977,1000
3,2,151729,710,1002,151727,151977,1000
3,3,151730,710,1003,151727,151977,1000
4,0,382120,2530,1000,382120,382370,1000
4,1,382121,2530,1001,382120,382370,1000
4,2,382122,2530,1002,382120,382370,1000
4,3,382123,2530,1003,382120,382370,1000
5,0,108745,510,1000,108745,108995,1000
5,1,108746,510,1001,108745,108995,1000
5,2,108747,510,1002,108745,108995,1000
5,3,108748,510,1003,108745,108995,1000
6,0,326587,1830,1500,326587,326648,1500
6,1,326588,1830,1501,326587,326648,1500
6,2,326589,1830,1502,326587,326648,1500
6,3,326590,1830,1503,326587,326648,1500
7,0,132045,620,1000,132045,132295,1000
7,1,132046,620,1001,132045,132295,1000
7,2,132047,620,1002,132045,132295,1000
7,3,132048,620,1003,132045,132295,1000
