rank,worker,batch_position,global_frame_idx,episode_index,frame_index,chunk_global_start,chunk_global_end,chunk_local_start
0,0,0,362366,2160,0,362366,362616,0
0,0,1,362367,2160,1,362366,362616,0
0,0,2,362368,2160,2,362366,362616,0
0,0,3,362369,2160,3,362366,362616,0
0,1,0,166072,770,750,166072,166322,750
0,1,1,166073,770,751,166072,166322,750
0,1,2,166074,770,752,166072,166322,750
0,1,3,166075,770,753,166072,166322,750
0,2,0,30693,160,1000,30693,30943,1000
0,2,1,30694,160,1001,30693,30943,1000
0,2,2,30695,160,1002,30693,30943,1000
0,2,3,30696,160,1003,30693,30943,1000
0,3,0,258144,1220,750,258144,258394,750
0,3,1,258145,1220,751,258144,258394,750
0,3,2,258146,1220,752,258144,258394,750
0,3,3,258147,1220,753,258144,258394,750
0,4,0,61584,300,1250,61584,61834,1250
0,4,1,61585,300,1251,61584,61834,1250
0,4,2,61586,300,1252,61584,61834,1250
0,4,3,61587,300,1253,61584,61834,1250
0,5,0,76874,370,0,76874,77124,0
0,5,1,76875,370,1,76874,77124,0
0,5,2,76876,370,2,76874,77124,0
0,5,3,76877,370,3,76874,77124,0
0,6,0,393808,2600,1000,393808,394058,1000
0,6,1,393809,2600,1001,393808,394058,1000
0,6,2,393810,2600,1002,393808,394058,1000
0,6,3,393811,2600,1003,393808,394058,1000
0,7,0,107458,500,1750,107458,107708,1750
0,7,1,107459,500,1751,107458,107708,1750
0,7,2,107460,500,1752,107458,107708,1750
0,7,3,107461,500,1753,107458,107708,1750
1,0,0,424220,2960,1500,424220,424350,1500
1,0,1,424221,2960,1501,424220,424350,1500
1,0,2,424222,2960,1502,424220,424350,1500
1,0,3,424223,2960,1503,424220,424350,1500
1,1,0,334437,1950,0,334437,334687,0
1,1,1,334438,1950,1,334437,334687,0
1,1,2,334439,1950,2,334437,334687,0
1,1,3,334440,1950,3,334437,334687,0
1,2,0,364866,2160,2500,364866,365116,2500
1,2,1,364867,2160,2501,364866,365116,2500
1,2,2,364868,2160,2502,364866,365116,2500
1,2,3,364869,2160,2503,364866,365116,2500
1,3,0,32797,170,500,32797,33047,500
1,3,1,32798,170,501,32797,33047,500
1,3,2,32799,170,502,32797,33047,500
1,3,3,32800,170,503,32797,33047,500
1,4,0,138762,650,1250,138762,139012,1250
1,4,1,138763,650,1251,138762,139012,1250
1,4,2,138764,650,1252,138762,139012,1250
1,4,3,138765,650,1253,138762,139012,1250
1,5,0,78780,380,250,78780,79030,250
1,5,1,78781,380,251,78780,79030,250
1,5,2,78782,380,252,78780,79030,250
1,5,3,78783,380,253,78780,79030,250
1,6,0,184407,850,750,184407,184657,750
1,6,1,184408,850,751,184407,184657,750
1,6,2,184409,850,752,184407,184657,750
1,6,3,184410,850,753,184407,184657,750
1,7,0,246112,1150,2000,246112,246173,2000
1,7,1,246113,1150,2001,246112,246173,2000
1,7,2,246114,1150,2002,246112,246173,2000
1,7,3,246115,1150,2003,246112,246173,2000
2,0,0,34047,170,1750,34047,34297,1750
2,0,1,34048,170,1751,34047,34297,1750
2,0,2,34049,170,1752,34047,34297,1750
2,0,3,34050,170,1753,34047,34297,1750
2,1,0,19191,100,1250,19191,19441,1250
2,1,1,19192,100,1251,19191,19441,1250
2,1,2,19193,100,1252,19191,19441,1250
2,1,3,19194,100,1253,19191,19441,1250
2,2,0,231315,1100,1750,231315,231565,1750
2,2,1,231316,1100,1751,231315,231565,1750
2,2,2,231317,1100,1752,231315,231565,1750
2,2,3,231318,1100,1753,231315,231565,1750
2,3,0,110206,520,0,110206,110456,0
2,3,1,110207,520,1,110206,110456,0
2,3,2,110208,520,2,110206,110456,0
2,3,3,110209,520,3,110206,110456,0
2,4,0,382120,2530,1000,382120,382370,1000
2,4,1,382121,2530,1001,382120,382370,1000
2,4,2,382122,2530,1002,382120,382370,1000
2,4,3,382123,2530,1003,382120,382370,1000
2,5,0,216703,1030,750,216703,216953,750
2,5,1,216704,1030,751,216703,216953,750
2,5,2,216705,1030,752,216703,216953,750
2,5,3,216706,1030,753,216703,216953,750
2,6,0,247673,1160,1500,247673,247779,1500
2,6,1,247674,1160,1501,247673,247779,1500
2,6,2,247675,1160,1502,247673,247779,1500
2,6,3,247676,1160,1503,247673,247779,1500
2,7,0,5546,30,1250,5546,5796,1250
2,7,1,5547,30,1251,5546,5796,1250
2,7,2,5548,30,1252,5546,5796,1250
