rank,worker,batch_position,global_frame_idx,episode_index,frame_index,chunk_global_start,chunk_global_end,chunk_local_start,action_query_start,action_query_end,action_is_pad,prompt,skip_count
0,0,0,229063,1080,3000,229063,229313,3000,229063,229094,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,1,229064,1080,3001,229063,229313,3000,229064,229095,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,2,229065,1080,3002,229063,229313,3000,229065,229096,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,3,229066,1080,3003,229063,229313,3000,229066,229097,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,4,229067,1080,3004,229063,229313,3000,229067,229098,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,5,229068,1080,3005,229063,229313,3000,229068,229099,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,6,229069,1080,3006,229063,229313,3000,229069,229100,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,7,229070,1080,3007,229063,229313,3000,229070,229101,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,8,229071,1080,3008,229063,229313,3000,229071,229102,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,9,229072,1080,3009,229063,229313,3000,229072,229103,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,10,229073,1080,3010,229063,229313,3000,229073,229104,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,11,229074,1080,3011,229063,229313,3000,229074,229105,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,12,229075,1080,3012,229063,229313,3000,229075,229106,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,13,229076,1080,3013,229063,229313,3000,229076,229107,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,14,229077,1080,3014,229063,229313,3000,229077,229108,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,15,229078,1080,3015,229063,229313,3000,229078,229109,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,16,229079,1080,3016,229063,229313,3000,229079,229110,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,17,229080,1080,3017,229063,229313,3000,229080,229111,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,18,229081,1080,3018,229063,229313,3000,229081,229112,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,19,229082,1080,3019,229063,229313,3000,229082,229113,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,20,229083,1080,3020,229063,229313,3000,229083,229114,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,21,229084,1080,3021,229063,229313,3000,229084,229115,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,22,229085,1080,3022,229063,229313,3000,229085,229116,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,23,229086,1080,3023,229063,229313,3000,229086,229117,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,24,229087,1080,3024,229063,229313,3000,229087,229118,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,25,229088,1080,3025,229063,229313,3000,229088,229119,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,26,229089,1080,3026,229063,229313,3000,229089,229120,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,27,229090,1080,3027,229063,229313,3000,229090,229121,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,28,229091,1080,3028,229063,229313,3000,229091,229122,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,29,229092,1080,3029,229063,229313,3000,229092,229123,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,30,229093,1080,3030,229063,229313,3000,229093,229124,0,Turn on the radio receiver that's on the table in the living room.,0
0,0,31,229094,1080,3031,229063,229313,3000,229094,229125,0,Turn on the radio receiver that's on the table in the living room.,0
0,1,0,276591,1330,1000,276591,276841,1000,276591,276622,0,Turn on the radio receiver that's on the table in the living room.,0
