step,rlinf_loss,ref_loss,abs_delta,within_0.03,within_2sigma,rlinf_lr,rlinf_grad_norm
0,0.225586,0.246094,0.020508,1,1,2.497502e-08,2.4698
1,0.210815,0.235352,0.024537,1,1,4.995005e-08,2.1537
2,0.217773,0.246094,0.028321,1,1,7.492508e-08,2.9036
3,0.232422,0.240234,0.007812,1,1,9.990010e-08,3.2347
4,0.233032,0.247070,0.014038,1,1,1.248751e-07,2.4372
5,0.205688,0.239258,0.033570,0,1,1.498502e-07,2.0317
6,0.266846,0.227539,0.039307,0,1,1.748252e-07,11.4683
7,0.179199,0.247070,0.067871,0,1,1.998002e-07,2.4189
8,0.200317,0.250000,0.049683,0,1,2.247752e-07,2.1990
9,0.205322,0.259766,0.054444,0,1,2.497502e-07,2.5103
10,0.201782,0.248047,0.046265,0,1,2.747253e-07,2.8278
11,0.237915,0.251953,0.014038,1,1,2.997003e-07,2.4944
12,0.213257,0.236328,0.023071,1,1,3.246753e-07,2.2419
13,0.186279,0.237305,0.051026,0,1,3.496503e-07,2.0698
14,0.224121,0.213867,0.010254,1,1,3.746254e-07,3.0704
15,0.144409,0.198242,0.053833,0,1,3.996004e-07,1.8873
16,0.186279,0.191406,0.005127,1,1,4.245754e-07,2.0960
17,0.161011,0.185547,0.024536,1,1,4.495505e-07,2.2480
18,0.166626,0.174805,0.008179,1,1,4.745255e-07,2.1789
19,0.312744,0.179688,0.133056,0,0,4.995005e-07,6.5880
20,0.183228,0.166992,0.016236,1,1,5.244755e-07,2.1797
21,0.178955,0.160156,0.018799,1,1,5.494505e-07,1.7321
22,0.162964,0.157227,0.005737,1,1,5.744255e-07,2.0888
23,0.117859,0.176758,0.058899,0,1,5.994006e-07,1.3608
24,0.150513,0.174805,0.024292,1,1,6.243756e-07,1.7875
25,0.127625,0.168945,0.041320,0,1,6.493506e-07,1.8012
26,0.154785,0.178711,0.023926,1,1,6.743257e-07,1.7365
27,0.229370,0.162109,0.067261,0,1,6.993007e-07,10.2049
28,0.142944,0.154297,0.011353,1,1,7.242757e-07,1.7082
29,0.112915,0.146484,0.033569,0,1,7.492508e-07,1.2952
30,0.120239,0.132812,0.012573,1,1,7.742257e-07,1.6291
31,0.101685,0.119141,0.017456,1,1,7.992008e-07,1.2247
32,0.113281,0.114746,0.001465,1,1,8.241759e-07,1.3395
33,0.092407,0.115234,0.022827,1,1,8.491508e-07,1.2333
34,0.104004,0.117676,0.013672,1,1,8.741259e-07,1.8963
35,0.144409,0.125977,0.018432,1,1,8.991009e-07,5.2475
36,0.108093,0.111816,0.003723,1,1,9.240758e-07,1.3951
37,0.075256,0.104004,0.028748,1,1,9.490510e-07,1.0732
38,0.088135,0.105469,0.017334,1,1,9.740260e-07,1.0610
39,0.073242,0.109375,0.036133,0,1,9.990009e-07,1.0878
40,0.095337,0.111328,0.015991,1,1,1.023976e-06,1.0941
41,0.073181,0.106445,0.033264,0,1,1.048951e-06,1.0243
42,0.078003,0.105957,0.027954,1,1,1.073926e-06,2.0451
43,0.131470,0.098145,0.033325,0,1,1.098901e-06,4.8302
44,0.071960,0.109863,0.037903,0,1,1.123876e-06,1.2123
45,0.051697,0.113770,0.062073,0,0,1.148851e-06,0.7634
46,0.058563,0.097168,0.038605,0,1,1.173826e-06,0.9011
47,0.040710,0.090332,0.049622,0,0,1.198801e-06,0.6223
48,0.087708,0.093262,0.005554,1,1,1.223776e-06,1.2855
49,0.045685,0.090332,0.044647,0,0,1.248751e-06,0.8270
