step,rlinf_loss,ref_loss,abs_delta,within_0.03,within_2sigma_steptostep
0,0.228271,0.246094,0.017823,1,1
1,0.207520,0.235352,0.027832,1,1
2,0.220459,0.246094,0.025635,1,1
3,0.227905,0.240234,0.012329,1,1
4,0.242310,0.247070,0.004760,1,1
5,0.207153,0.239258,0.032105,0,0
6,0.267212,0.227539,0.039673,0,0
7,0.177979,0.247070,0.069091,0,0
8,0.211426,0.250000,0.038574,0,0
9,0.202881,0.259766,0.056885,0,0
10,0.204712,0.248047,0.043335,0,0
11,0.233765,0.251953,0.018188,1,1
12,0.207642,0.236328,0.028686,1,1
13,0.190186,0.237305,0.047119,0,0
14,0.220459,0.213867,0.006592,1,1
15,0.148682,0.198242,0.049560,0,0
16,0.184326,0.191406,0.007080,1,1
17,0.165161,0.185547,0.020386,1,1
18,0.165161,0.174805,0.009644,1,1
19,0.319092,0.179688,0.139404,0,0
20,0.186646,0.166992,0.019654,1,1
21,0.179321,0.160156,0.019165,1,1
22,0.166992,0.157227,0.009765,1,1
23,0.124023,0.176758,0.052735,0,0
24,0.149536,0.174805,0.025269,1,1
25,0.123596,0.168945,0.045349,0,0
26,0.152710,0.178711,0.026001,1,1
27,0.226807,0.162109,0.064698,0,0
28,0.137207,0.154297,0.017090,1,1
29,0.113403,0.146484,0.033081,0,0
30,0.118530,0.132812,0.014282,1,1
31,0.097351,0.119141,0.021790,1,1
32,0.113831,0.114746,0.000915,1,1
33,0.091431,0.115234,0.023803,1,1
34,0.106995,0.117676,0.010681,1,1
35,0.156738,0.125977,0.030761,0,0
36,0.107788,0.111816,0.004028,1,1
37,0.078613,0.104004,0.025391,1,1
38,0.089783,0.105469,0.015686,1,1
39,0.071655,0.109375,0.037720,0,0
40,0.093872,0.111328,0.017456,1,1
41,0.071960,0.106445,0.034485,0,0
42,0.076660,0.105957,0.029297,1,1
43,0.121399,0.098145,0.023254,1,1
44,0.073914,0.109863,0.035949,0,0
45,0.052002,0.113770,0.061768,0,0
46,0.057373,0.097168,0.039795,0,0
47,0.042633,0.090332,0.047699,0,0
48,0.090515,0.093262,0.002747,1,1
49,0.046875,0.090332,0.043457,0,0
