step,bf16_master_loss,fp32_master_loss
0,0.275391,0.275391
1,0.281250,0.281250
2,0.279297,0.279297
3,0.281250,0.281250
4,0.285156,0.285156
5,0.275391,0.273438
6,0.300781,0.302734
7,0.279297,0.277344
8,0.267578,0.265625
9,0.269531,0.267578
10,0.275391,0.273438
11,0.294922,0.292969
12,0.275391,0.269531
13,0.281250,0.271484
14,0.287109,0.273438
15,0.281250,0.269531
16,0.294922,0.279297
17,0.267578,0.246094
18,0.296875,0.253906
19,0.271484,0.240234
20,0.275391,0.242188
21,0.281250,0.238281
22,0.294922,0.242188
23,0.277344,0.247070
24,0.283203,0.242188
25,0.261719,0.226562
26,0.302734,0.235352
27,0.267578,0.228516
28,0.275391,0.225586
29,0.283203,0.224609
30,0.273438,0.226562
31,0.259766,0.218750
32,0.289062,0.223633
33,0.273438,0.220703
34,0.267578,0.205078
35,0.279297,0.169922
36,0.273438,0.166992
37,0.259766,0.167969
38,0.259766,0.166992
39,0.285156,0.164062
40,0.255859,0.163086
41,0.259766,0.162109
42,0.259766,0.151367
43,0.259766,0.150391
44,0.267578,0.148438
45,0.269531,0.149414
46,0.263672,0.147461
47,0.255859,0.144531
48,0.244141,0.104492
49,0.246094,0.101074
