step,rlinf_loss,ref_loss,abs_delta,within_0.03,within_2sigma_steptostep
0,0.225586,0.246094,0.020508,1,1
1,0.210815,0.235352,0.024537,1,1
2,0.217773,0.246094,0.028321,1,1
3,0.232422,0.240234,0.007812,1,1
4,0.233032,0.247070,0.014038,1,1
5,0.205688,0.239258,0.033570,0,0
6,0.266846,0.227539,0.039307,0,0
7,0.179199,0.247070,0.067871,0,0
8,0.200317,0.250000,0.049683,0,0
9,0.205322,0.259766,0.054444,0,0
10,0.201782,0.248047,0.046265,0,0
11,0.237915,0.251953,0.014038,1,1
12,0.213257,0.236328,0.023071,1,1
13,0.186279,0.237305,0.051026,0,0
14,0.224121,0.213867,0.010254,1,1
15,0.144409,0.198242,0.053833,0,0
16,0.186279,0.191406,0.005127,1,1
17,0.161011,0.185547,0.024536,1,1
18,0.166626,0.174805,0.008179,1,1
19,0.312744,0.179688,0.133056,0,0
20,0.183228,0.166992,0.016236,1,1
21,0.178955,0.160156,0.018799,1,1
22,0.162964,0.157227,0.005737,1,1
23,0.117859,0.176758,0.058899,0,0
24,0.150513,0.174805,0.024292,1,1
25,0.127625,0.168945,0.041320,0,0
26,0.154785,0.178711,0.023926,1,1
27,0.229370,0.162109,0.067261,0,0
28,0.142944,0.154297,0.011353,1,1
29,0.112915,0.146484,0.033569,0,0
30,0.120239,0.132812,0.012573,1,1
31,0.101685,0.119141,0.017456,1,1
32,0.113281,0.114746,0.001465,1,1
33,0.092407,0.115234,0.022827,1,1
34,0.104004,0.117676,0.013672,1,1
35,0.144409,0.125977,0.018432,1,1
36,0.108093,0.111816,0.003723,1,1
37,0.075256,0.104004,0.028748,1,1
38,0.088135,0.105469,0.017334,1,1
39,0.073242,0.109375,0.036133,0,0
40,0.095337,0.111328,0.015991,1,1
41,0.073181,0.106445,0.033264,0,0
42,0.078003,0.105957,0.027954,1,1
43,0.131470,0.098145,0.033325,0,0
44,0.071960,0.109863,0.037903,0,0
45,0.051697,0.113770,0.062073,0,0
46,0.058563,0.097168,0.038605,0,0
47,0.040710,0.090332,0.049622,0,0
48,0.087708,0.093262,0.005554,1,1
49,0.045685,0.090332,0.044647,0,0
