step,rlinf_loss,ref_loss,abs_delta,within_0.03,within_2sigma,rlinf_lr,rlinf_grad_norm
0,0.230591,0.246094,0.015503,1,1,2.497502e-08,2.3867
1,0.208984,0.235352,0.026368,1,1,4.995005e-08,2.0751
2,0.217407,0.246094,0.028687,1,1,7.492508e-08,2.9143
3,0.232178,0.240234,0.008056,1,1,9.990010e-08,3.2063
4,0.231934,0.247070,0.015136,1,1,1.248751e-07,2.4543
5,0.203247,0.239258,0.036011,0,1,1.498502e-07,2.0495
6,0.265869,0.227539,0.038330,0,1,1.748252e-07,11.1692
7,0.176025,0.247070,0.071045,0,1,1.998002e-07,2.2960
8,0.216553,0.250000,0.033447,0,1,2.247752e-07,2.2319
9,0.195068,0.259766,0.064698,0,1,2.497502e-07,2.4642
10,0.199951,0.248047,0.048096,0,1,2.747253e-07,2.6842
11,0.236938,0.251953,0.015015,1,1,2.997003e-07,2.5133
12,0.212646,0.236328,0.023682,1,1,3.246753e-07,2.3916
13,0.190796,0.237305,0.046509,0,1,3.496503e-07,2.1699
14,0.216431,0.213867,0.002564,1,1,3.746254e-07,2.9345
15,0.148804,0.198242,0.049438,0,1,3.996004e-07,1.9987
16,0.185425,0.191406,0.005981,1,1,4.245754e-07,2.1038
17,0.168823,0.185547,0.016724,1,1,4.495505e-07,2.3864
18,0.169556,0.174805,0.005249,1,1,4.745255e-07,2.2148
19,0.314453,0.179688,0.134765,0,0,4.995005e-07,8.6038
20,0.182251,0.166992,0.015259,1,1,5.244755e-07,2.1132
21,0.181274,0.160156,0.021118,1,1,5.494505e-07,1.7902
22,0.165894,0.157227,0.008667,1,1,5.744255e-07,2.1896
23,0.119080,0.176758,0.057678,0,1,5.994006e-07,1.4331
24,0.148682,0.174805,0.026123,1,1,6.243756e-07,1.7575
25,0.124939,0.168945,0.044006,0,1,6.493506e-07,1.8522
26,0.155640,0.178711,0.023071,1,1,6.743257e-07,1.7574
27,0.214600,0.162109,0.052491,0,1,6.993007e-07,10.0688
28,0.137329,0.154297,0.016968,1,1,7.242757e-07,1.6592
29,0.115662,0.146484,0.030822,0,1,7.492508e-07,1.3597
30,0.123657,0.132812,0.009155,1,1,7.742257e-07,1.5711
31,0.100525,0.119141,0.018616,1,1,7.992008e-07,1.2374
32,0.117737,0.114746,0.002991,1,1,8.241759e-07,1.4628
33,0.092834,0.115234,0.022400,1,1,8.491508e-07,1.2678
34,0.109131,0.117676,0.008545,1,1,8.741259e-07,2.0062
35,0.147339,0.125977,0.021362,1,1,8.991009e-07,5.2228
36,0.107971,0.111816,0.003845,1,1,9.240758e-07,1.3821
37,0.077820,0.104004,0.026184,1,1,9.490510e-07,1.1668
38,0.086426,0.105469,0.019043,1,1,9.740260e-07,1.0457
39,0.070984,0.109375,0.038391,0,1,9.990009e-07,1.0224
40,0.093018,0.111328,0.018310,1,1,1.023976e-06,1.0732
41,0.072327,0.106445,0.034118,0,1,1.048951e-06,1.0858
42,0.077942,0.105957,0.028015,1,1,1.073926e-06,1.8417
43,0.123718,0.098145,0.025573,1,1,1.098901e-06,4.5618
44,0.074158,0.109863,0.035705,0,1,1.123876e-06,1.3071
45,0.050659,0.113770,0.063111,0,0,1.148851e-06,0.7616
46,0.057220,0.097168,0.039948,0,1,1.173826e-06,1.0224
47,0.042938,0.090332,0.047394,0,0,1.198801e-06,0.6884
48,0.088684,0.093262,0.004578,1,1,1.223776e-06,1.2956
49,0.048096,0.090332,0.042236,0,0,1.248751e-06,0.9118
