step,loss,lr,grad_norm
0,0.246094,2.497502e-08,2.1718
1,0.235352,4.995005e-08,1.9754
2,0.246094,7.492507e-08,2.0084
3,0.240234,9.990010e-08,2.0172
4,0.247070,1.248751e-07,2.3683
5,0.239258,1.498501e-07,1.7851
6,0.227539,1.748252e-07,2.1030
7,0.247070,1.998002e-07,1.9401
8,0.250000,2.247752e-07,1.9793
9,0.259766,2.497502e-07,2.3444
10,0.248047,2.747253e-07,2.4665
11,0.251953,2.997003e-07,2.7205
12,0.236328,3.246753e-07,2.9706
13,0.237305,3.496503e-07,2.0790
14,0.213867,3.746254e-07,1.9560
15,0.198242,3.996004e-07,1.5248
16,0.191406,4.245754e-07,1.5311
17,0.185547,4.495504e-07,1.3722
18,0.174805,4.745255e-07,1.3202
19,0.179688,4.995005e-07,1.5134
20,0.166992,5.244755e-07,1.4874
21,0.160156,5.494505e-07,1.3107
22,0.157227,5.744256e-07,1.3509
23,0.176758,5.994006e-07,1.8562
24,0.174805,6.243756e-07,1.3993
25,0.168945,6.493506e-07,1.8832
26,0.178711,6.743257e-07,2.5770
27,0.162109,6.993007e-07,1.7013
28,0.154297,7.242757e-07,1.1548
29,0.146484,7.492507e-07,1.0100
30,0.132812,7.742258e-07,0.9378
31,0.119141,7.992008e-07,0.8363
32,0.114746,8.241758e-07,0.9327
33,0.115234,8.491508e-07,1.0397
34,0.117676,8.741259e-07,0.9702
35,0.125977,8.991009e-07,0.8516
36,0.111816,9.240759e-07,0.7851
37,0.104004,9.490509e-07,0.6939
38,0.105469,9.740260e-07,0.7031
39,0.109375,9.990010e-07,0.7007
40,0.111328,1.023976e-06,0.7102
41,0.106445,1.048951e-06,0.7303
42,0.105957,1.073926e-06,0.6678
43,0.098145,1.098901e-06,0.6407
44,0.109863,1.123876e-06,0.6185
45,0.113770,1.148851e-06,0.6420
46,0.097168,1.173826e-06,0.5835
47,0.090332,1.198801e-06,0.6175
48,0.093262,1.223776e-06,0.5815
49,0.090332,1.248751e-06,0.5576
