step,loss,lr,grad_norm
0,0.243164,2.497502e-08,2.1894
1,0.235352,4.995005e-08,1.9345
2,0.251953,7.492507e-08,2.0481
3,0.244141,9.990010e-08,2.3550
4,0.242188,1.248751e-07,2.4161
5,0.244141,1.498501e-07,1.8160
6,0.236328,1.748252e-07,2.0637
7,0.245117,1.998002e-07,1.9182
8,0.251953,2.247752e-07,1.9278
9,0.253906,2.497502e-07,2.3914
10,0.248047,2.747253e-07,3.0319
11,0.248047,2.997003e-07,2.7295
12,0.237305,3.246753e-07,2.9942
13,0.238281,3.496503e-07,2.0401
14,0.212891,3.746254e-07,1.8734
15,0.198242,3.996004e-07,1.5143
16,0.193359,4.245754e-07,1.5455
17,0.187500,4.495504e-07,1.3791
18,0.174805,4.745255e-07,1.3069
19,0.179688,4.995005e-07,1.5772
20,0.166016,5.244755e-07,1.4599
21,0.160156,5.494505e-07,1.2297
22,0.158203,5.744256e-07,1.4971
23,0.169922,5.994006e-07,1.8057
24,0.176758,6.243756e-07,1.5066
25,0.162109,6.493506e-07,1.7934
26,0.180664,6.743257e-07,2.6274
27,0.164062,6.993007e-07,1.9356
28,0.152344,7.242757e-07,1.0213
29,0.144531,7.492507e-07,1.0066
30,0.135742,7.742258e-07,0.9724
31,0.121582,7.992008e-07,0.8350
32,0.114746,8.241758e-07,0.9018
33,0.118164,8.491508e-07,0.8681
34,0.118164,8.741259e-07,0.9322
35,0.124023,8.991009e-07,0.8271
36,0.112305,9.240759e-07,0.7489
37,0.107422,9.490509e-07,0.6968
38,0.105469,9.740260e-07,0.7564
39,0.110840,9.990010e-07,0.7534
40,0.114258,1.023976e-06,0.6990
41,0.107422,1.048951e-06,0.7468
42,0.107422,1.073926e-06,0.6947
43,0.097168,1.098901e-06,0.6134
44,0.109863,1.123876e-06,0.6166
45,0.118164,1.148851e-06,0.6668
46,0.094727,1.173826e-06,0.5580
47,0.091797,1.198801e-06,0.6472
48,0.092285,1.223776e-06,0.5854
49,0.089355,1.248751e-06,0.5614
