step,rlinf_fixed_loss,ref_loss,abs_delta,within_0.03,within_2sigma,pre_fix_rlinf_r22,rlinf_lr,rlinf_grad_norm
0,0.301514,0.246094,0.05542,0,0,0.230591,2.5e-08,6.53336
1,0.229126,0.235352,0.006226,1,1,0.208984,5e-08,2.52206
2,0.236816,0.246094,0.009278,1,1,0.217407,7.49e-08,2.04903
3,0.213623,0.240234,0.026611,1,0,0.232178,9.99e-08,2.16907
4,0.249146,0.24707,0.002076,1,1,0.231934,1.249e-07,2.8867
5,0.232666,0.239258,0.006592,1,1,0.203247,1.499e-07,1.96434
6,0.205933,0.227539,0.021606,1,0,0.265869,1.748e-07,1.83718
7,0.268311,0.24707,0.021241,1,0,0.176025,1.998e-07,2.86222
8,0.268188,0.25,0.018188,1,0,0.216553,2.248e-07,4.85361
9,0.200439,0.259766,0.059327,0,0,0.195068,2.498e-07,2.32847
10,0.208618,0.248047,0.039429,0,0,0.199951,2.747e-07,1.78323
11,0.196899,0.251953,0.055054,0,0,0.236938,2.997e-07,2.06206
12,0.221191,0.236328,0.015137,1,0,0.212646,3.247e-07,2.52607
13,0.207031,0.237305,0.030274,0,0,0.190796,3.497e-07,2.52844
14,0.166382,0.213867,0.047485,0,0,0.216431,3.746e-07,1.37286
15,0.234009,0.198242,0.035767,0,0,0.148804,3.996e-07,2.40447
16,0.203857,0.191406,0.012451,1,0,0.185425,4.246e-07,2.96756
17,0.164551,0.185547,0.020996,1,0,0.168823,4.496e-07,1.36448
18,0.178589,0.174805,0.003784,1,1,0.169556,4.745e-07,1.6613
19,0.165344,0.179688,0.014344,1,0,0.314453,4.995e-07,1.19129
20,0.173401,0.166992,0.006409,1,1,0.182251,5.245e-07,2.03783
21,0.145325,0.160156,0.014831,1,0,0.181274,5.495e-07,1.14295
22,0.143311,0.157227,0.013916,1,0,0.165894,5.744e-07,0.95862
23,0.167847,0.176758,0.008911,1,1,0.11908,5.994e-07,2.10509
24,0.167053,0.174805,0.007752,1,1,0.148682,6.244e-07,1.05356
25,0.133789,0.168945,0.035156,0,0,0.124939,6.494e-07,0.99659
26,0.142029,0.178711,0.036682,0,0,0.15564,6.743e-07,0.93811
27,0.141113,0.162109,0.020996,1,0,0.2146,6.993e-07,0.8865
28,0.134644,0.154297,0.019653,1,0,0.137329,7.243e-07,0.84086
29,0.115784,0.146484,0.0307,0,0,0.115662,7.493e-07,0.86269
30,0.112183,0.132812,0.020629,1,0,0.123657,7.742e-07,0.72521
31,0.128235,0.119141,0.009094,1,1,0.100525,7.992e-07,0.77824
32,0.128296,0.114746,0.01355,1,0,0.117737,8.242e-07,0.80132
33,0.11792,0.115234,0.002686,1,1,0.092834,8.492e-07,1.05824
34,0.112793,0.117676,0.004883,1,1,0.109131,8.741e-07,0.7086
35,0.105591,0.125977,0.020386,1,0,0.147339,8.991e-07,0.67942
36,0.101929,0.111816,0.009887,1,1,0.107971,9.241e-07,0.64289
37,0.107239,0.104004,0.003235,1,1,0.07782,9.491e-07,0.66559
38,0.083893,0.105469,0.021576,1,0,0.086426,9.74e-07,0.58976
39,0.096497,0.109375,0.012878,1,0,0.070984,9.99e-07,0.56134
40,0.094299,0.111328,0.017029,1,0,0.093018,1.024e-06,0.67696
41,0.099731,0.106445,0.006714,1,1,0.072327,1.049e-06,0.81451
42,0.09613,0.105957,0.009827,1,1,0.077942,1.0739e-06,0.56089
43,0.087341,0.098145,0.010804,1,1,0.123718,1.0989e-06,0.5197
44,0.082489,0.109863,0.027374,1,0,0.074158,1.1239e-06,0.4903
45,0.094879,0.11377,0.018891,1,0,0.050659,1.1489e-06,0.58667
46,0.067719,0.097168,0.029449,1,0,0.05722,1.1738e-06,0.56133
47,0.075165,0.090332,0.015167,1,0,0.042938,1.1988e-06,0.49444
48,0.069397,0.093262,0.023865,1,0,0.088684,1.2238e-06,0.53625
49,0.082581,0.090332,0.007751,1,1,0.048096,1.2488e-06,0.56019
