step,rlinf_loss,ref_loss,abs_delta,rlinf_lr,rlinf_grad_norm
0,0.292358,0.246094,0.046265,2.4975024714990468e-08,6.39044
1,0.22583,0.235352,0.009521,4.9950049429980936e-08,1.99153
2,0.23584,0.246094,0.010254,7.492507592132824e-08,2.00433
3,0.223633,0.240234,0.016602,9.990009885996187e-08,2.18822
4,0.242432,0.24707,0.004639,1.2487511469316814e-07,2.59416
5,0.237183,0.239258,0.002075,1.498501518426565e-07,2.04812
6,0.196899,0.227539,0.03064,1.7482517478129012e-07,1.75657
7,0.274414,0.24707,0.027344,1.9980019771992374e-07,2.86189
8,0.269653,0.25,0.019653,2.247752348694121e-07,4.46965
9,0.198364,0.259766,0.061401,2.497502293863363e-07,1.97521
10,0.22522,0.248047,0.022827,2.7472526653582463e-07,1.75336
11,0.190063,0.251953,0.06189,2.99700303685313e-07,1.79663
12,0.222534,0.236328,0.013794,3.246753124130919e-07,2.65619
13,0.200439,0.237305,0.036865,3.4965034956258023e-07,2.01974
14,0.168823,0.213867,0.045044,3.746253867120686e-07,1.45519
15,0.244385,0.198242,0.046143,3.996003954398475e-07,2.06698
16,0.210815,0.191406,0.019409,4.2457537574591697e-07,3.27686
17,0.163818,0.185547,0.021729,4.495504697388242e-07,1.27056
18,0.175964,0.174805,0.00116,4.745254784666031e-07,1.60568
19,0.16272,0.179688,0.016968,4.995004587726726e-07,1.0675
20,0.169983,0.166992,0.002991,5.244755243438703e-07,2.00919
21,0.151489,0.160156,0.008667,5.494505330716493e-07,1.18422
22,0.144348,0.157227,0.012878,5.744255417994282e-07,0.99906
23,0.1698,0.176758,0.006958,5.99400607370626e-07,2.90007
24,0.161987,0.174805,0.012817,6.243756160984049e-07,1.03432
25,0.130371,0.168945,0.038574,6.493506248261838e-07,1.00657
26,0.149536,0.178711,0.029175,6.743256903973815e-07,0.97376
27,0.139893,0.162109,0.022217,6.993006991251605e-07,0.85952
28,0.133545,0.154297,0.020752,7.242757078529394e-07,0.80432
29,0.117676,0.146484,0.028809,7.492507734241372e-07,0.87365
30,0.113647,0.132812,0.019165,7.742256684650783e-07,0.75126
31,0.127136,0.119141,0.007996,7.99200790879695e-07,0.78204
32,0.128845,0.114746,0.014099,8.241758564508928e-07,0.83869
33,0.114441,0.115234,0.000793,8.491507514918339e-07,0.84831
34,0.115845,0.117676,0.001831,8.741258739064506e-07,0.75372
35,0.102356,0.125977,0.023621,8.991009394776484e-07,0.65798
36,0.102722,0.111816,0.009094,9.240758345185895e-07,0.66002
37,0.106628,0.104004,0.002625,9.490509569332062e-07,0.66447
38,0.088135,0.105469,0.017334,9.74025965660985e-07,0.61459
39,0.094543,0.109375,0.014832,9.990009175453451e-07,0.55786
40,0.095215,0.111328,0.016113,1.023975983116543e-06,0.61681
41,0.103149,0.106445,0.003296,1.0489510486877407e-06,0.77253
42,0.100342,0.105957,0.005615,1.0739260005721007e-06,0.57218
43,0.088013,0.098145,0.010132,1.0989010661432985e-06,0.51128
44,0.084869,0.109863,0.024994,1.1238761317144963e-06,0.52625
45,0.095459,0.11377,0.018311,1.1488510835988563e-06,0.60591
46,0.067169,0.097168,0.029999,1.1738261491700541e-06,0.58496
47,0.077881,0.090332,0.012451,1.198801214741252e-06,0.53702
48,0.073578,0.093262,0.019684,1.223776166625612e-06,0.54569
49,0.078796,0.090332,0.011536,1.2487512321968097e-06,0.56095
50,0.073181,0.085449,0.012268,1.2737262977680075e-06,0.52489
51,0.067657,0.075684,0.008026,1.2987012496523676e-06,0.41838
52,0.062286,0.077148,0.014862,1.3236763152235653e-06,0.40924
53,0.067169,0.073242,0.006073,1.348651380794763e-06,0.46547
54,0.047943,0.078125,0.030182,1.3736263326791232e-06,0.43404
55,0.067627,0.078125,0.010498,1.398601398250321e-06,0.44788
56,0.056396,0.06543,0.009033,1.4235764638215187e-06,0.42663
57,0.072144,0.076172,0.004028,1.4485514157058788e-06,0.49731
58,0.052032,0.07959,0.027557,1.4735264812770765e-06,0.45451
59,0.051346,0.07959,0.028244,1.4985015468482743e-06,0.34163
60,0.05867,0.069824,0.011154,1.5234764987326344e-06,0.38203
61,0.058105,0.062256,0.00415,1.5484513369301567e-06,0.3882
62,0.043701,0.047607,0.003906,1.57342662987503e-06,0.38666
63,0.055389,0.060547,0.005157,1.59840158175939e-06,0.3177
64,0.063644,0.055664,0.00798,1.6233768747042632e-06,0.39692
65,0.070404,0.061035,0.009369,1.6483517129017855e-06,0.5668
66,0.045288,0.053955,0.008667,1.6733266647861456e-06,0.36899
67,0.057953,0.049072,0.008881,1.6983015029836679e-06,0.36945
68,0.057495,0.054688,0.002808,1.723276795928541e-06,0.51226
69,0.046295,0.070312,0.024017,1.7482517478129012e-06,0.33831
70,0.054001,0.061768,0.007767,1.7732270407577744e-06,0.36491
71,0.040596,0.051514,0.010918,1.7982018789552967e-06,0.29269
72,0.05217,0.044922,0.007248,1.8231768308396568e-06,0.37572
73,0.053009,0.04126,0.011749,1.848151669037179e-06,0.38571
74,0.030258,0.042969,0.012711,1.8731269619820523e-06,0.29155
75,0.043472,0.045898,0.002426,1.8981019138664124e-06,0.45536
76,0.043594,0.040527,0.003067,1.9230772068112856e-06,0.39572
77,0.036484,0.046875,0.010391,1.94805193132197e-06,0.37235
78,0.038239,0.047119,0.008881,1.9730268832063302e-06,0.29432
79,0.034622,0.057617,0.022995,1.9980018350906903e-06,0.25288
80,0.055008,0.053711,0.001297,2.022977014348726e-06,0.46164
81,0.043121,0.055664,0.012543,2.047951966233086e-06,0.40325
82,0.03125,0.051758,0.020508,2.0729273728647968e-06,0.26498
83,0.038483,0.046631,0.008148,2.0979020973754814e-06,0.28242
84,0.048813,0.051758,0.002945,2.1228770492598414e-06,0.38779
85,0.025528,0.054688,0.02916,2.1478520011442015e-06,0.39151
86,0.024658,0.047119,0.022461,2.172827180402237e-06,0.25468
87,0.036171,0.042236,0.006065,2.197802132286597e-06,0.28679
88,0.03566,0.050537,0.014877,2.222777538918308e-06,0.2877
89,0.040634,0.049072,0.008438,2.2477522634289926e-06,0.34847
90,0.039551,0.050537,0.010986,2.2727272153133526e-06,0.27802
91,0.032631,0.047852,0.015221,2.2977021671977127e-06,0.27374
92,0.044617,0.039795,0.004822,2.322677346455748e-06,0.42326
93,0.021286,0.041992,0.020706,2.3476522983401082e-06,0.22625
94,0.024063,0.043945,0.019882,2.372627704971819e-06,0.25991
95,0.04528,0.04126,0.004021,2.397602429482504e-06,0.36212
96,0.026901,0.041748,0.014847,2.422577381366864e-06,0.21162
97,0.027832,0.037109,0.009277,2.447552333251224e-06,0.37891
98,0.028305,0.034668,0.006363,2.4725275125092594e-06,0.23224
99,0.022697,0.044189,0.021492,2.4975024643936194e-06,0.21608
100,0.036179,0.050537,0.014359,2.5224774162779795e-06,0.37706
101,0.027596,0.049316,0.021721,2.547452595536015e-06,0.21436
102,0.028351,0.05127,0.022919,2.572427547420375e-06,0.25464
103,0.027115,0.043457,0.016342,2.597402499304735e-06,0.27286
104,0.026657,0.052002,0.025345,2.622377451189095e-06,0.24549
105,0.031662,0.051514,0.019852,2.6473526304471307e-06,0.45634
106,0.028473,0.044922,0.016449,2.672327809705166e-06,0.31752
107,0.022205,0.054688,0.032482,2.697302761589526e-06,0.263
108,0.037796,0.05127,0.013474,2.7222777134738863e-06,0.42576
